ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site,Metadata_dish
2,0.0238018278032541,0.0033335250336676,0.08843231201171875,0.2908574938774109,0.0021516333799809217,0.13455668091773987,0.1644163429737091,H1975,2,gefitinib,15,1
3,0.1321992874145507,0.0023811166174709,0.14421820640563965,0.29682716727256775,0.07435984164476395,0.17255878448486328,0.19991420209407806,H1975,2,gefitinib,15,1
1,0.0027704008389264,0.0006197391776368,0,0,0,0,0,H1975,2,gefitinib,16,1
2,0.1842255741357803,0.0076289474964141,0.2565542757511139,0.385448157787323,0.12271203100681305,0.3046018183231354,0.33430173993110657,H1975,2,gefitinib,16,1
3,0.06184583902359,0.0120848370715975,0.30100858211517334,0.5306375622749329,0.020188389346003532,0.37736746668815613,0.42464151978492737,H1975,2,gefitinib,16,1
1,0.000393502326915,4.591339165926911e-05,0,0,0,0,0,H1975,2,gefitinib,17,1
2,0.0468652211129665,0.0015704091638326,0.04263707622885704,0.10272196680307388,0.0012500989250838757,0.060411494225263596,0.07153749465942383,H1975,2,gefitinib,17,1
1,0.059725172817707,0.0010248473845422,0.10218057781457901,0.15169964730739594,0.061402205377817154,0.11632946133613586,0.12509794533252716,H1975,2,gefitinib,18,1
1,0.0944194495677948,0.0020710565149784,0.09022947400808334,0.22107438743114471,0.017248982563614845,0.11876677721738815,0.1388806402683258,H1975,2,gefitinib,19,1
2,0.1129880771040916,0.0011021236423403,0.12212818115949631,0.1962347775697708,0.06324026733636856,0.1434451788663864,0.15830619633197784,H1975,2,gefitinib,19,1
3,0.1066250428557396,0.0010670874034985,0.1275605410337448,0.15037401020526886,0.1044931560754776,0.13598620891571045,0.14121025800704956,H1975,2,gefitinib,19,1
1,0.2058009654283523,0.0028986418619751,0.24201875925064087,0.36182457208633423,0.13892967998981476,0.27549904584884644,0.29550081491470337,H1975,2,gefitinib,2,1
1,0.0184181444346904,0.0027050571516156,0.06537225842475891,0.13063959777355194,0.00160637975204736,0.0957084447145462,0.1145276352763176,H1975,2,gefitinib,20,1
2,6.518804002553225e-05,7.0886067078390624e-06,0,0,0,0,0,H1975,2,gefitinib,20,1
3,0.1057348623871803,0.0033128059003502,0.10576625913381577,0.23346799612045288,0.00199879496358335,0.1427529752254486,0.1633819341659546,H1975,2,gefitinib,20,1
4,0.1434898972511291,0.0218061041086912,0.2651953101158142,0.42972177267074585,0.07051587849855423,0.3293209671974182,0.3639431297779083,H1975,2,gefitinib,20,1
5,0.0935456976294517,0.0229215621948242,0.29354238510131836,0.42759963870048523,0.08414829522371292,0.3698423504829407,0.39156851172447205,H1975,2,gefitinib,20,1
6,0.0210891403257846,0.006050057709217,0.24973861873149872,0.5809954404830933,0.00914660096168518,0.35072341561317444,0.4051499366760254,H1975,2,gefitinib,20,1
7,0.037418819963932,0.0095165520906448,0.30580803751945496,0.5175658464431763,0.14425596594810486,0.36156731843948364,0.39437299966812134,H1975,2,gefitinib,20,1
1,0.1571364849805832,0.0038006335962563,0.2503945827484131,0.3551272749900818,0.1652311235666275,0.2864876985549927,0.31203141808509827,H1975,2,gefitinib,3,1
2,0.0553433187305927,0.0057586282491683,0.09405283629894257,0.30950024724006653,0.0004662255523726344,0.13995683193206787,0.1714673638343811,H1975,2,gefitinib,3,1
3,0.2410699874162674,0.0051590525545179,0.2939392030239105,0.37992027401924133,0.1895633488893509,0.3261476159095764,0.3441297113895416,H1975,2,gefitinib,3,1
4,0.2185937911272049,0.0034777817782014,0.22323472797870636,0.3763236105442047,0.04895960912108421,0.27173060178756714,0.30200517177581787,H1975,2,gefitinib,3,1
1,0.1781832873821258,0.006567982956767,0.17118483781814575,0.3078024089336395,0.03006078116595745,0.21849097311496735,0.24987870454788208,H1975,2,gefitinib,4,1
2,0.1261561959981918,0.0062938551418483,0.10385481268167496,0.2509262263774872,0.0011762706562876701,0.14610612392425537,0.1723335087299347,H1975,2,gefitinib,4,1
3,0.2745487689971924,0.0109419794753193,0.32507380843162537,0.43991518020629883,0.2251763939857483,0.35736557841300964,0.3768285810947418,H1975,2,gefitinib,4,1
4,0.1368437111377716,0.0038287017960101,0.14485512673854828,0.28678128123283386,0.0011135508539155126,0.1933564394712448,0.21098266541957855,H1975,2,gefitinib,4,1
1,0.0984508693218231,0.008419987745583,0.22966240346431732,0.30788299441337585,0.11895811557769775,0.2562164068222046,0.2708909511566162,H1975,2,gefitinib,5,1
2,0.1788608580827713,0.0026696205604821,0.18719063699245453,0.27033281326293945,0.06528373807668686,0.2193368822336197,0.2351967841386795,H1975,2,gefitinib,5,1
1,0.2621734142303467,0.0069203479215502,0.25508177280426025,0.40585386753082275,0.09690885245800018,0.29759344458580017,0.3234265148639679,H1975,2,gefitinib,6,1
2,0.258451908826828,0.0237162504345178,0.3159695267677307,0.4171596169471741,0.21162590384483337,0.35519421100616455,0.37881767749786377,H1975,2,gefitinib,6,1
3,0.0515615828335285,0.0005818835343234,0.06109819933772087,0.08094579726457596,0.042324088513851166,0.06951521337032318,0.07534700632095337,H1975,2,gefitinib,6,1
4,0.0561376921832561,0.0006734259659424,0,0,0,0,0,H1975,2,gefitinib,6,1
5,0.0398729965090751,0.0012445002794265,0.024806026369333267,0.05897998809814453,0.002023606328293681,0.03689687326550484,0.04662221297621727,H1975,2,gefitinib,6,1
1,0.1375672817230224,0.0024570592213422,0.2101573348045349,0.3142343759536743,0.10384487360715866,0.24347759783267975,0.2626243233680725,H1975,2,gefitinib,7,1
2,0.0852308645844459,0.0007784820627421,0.12907421588897705,0.23771432042121887,0.038504619151353836,0.16812126338481903,0.19583508372306824,H1975,2,gefitinib,7,1
3,0.0858142971992492,0.0009236981277354,0.14693602919578552,0.22879746556282043,0.08873867243528366,0.18298819661140442,0.20282043516635895,H1975,2,gefitinib,7,1
4,0.04078871011734,0.0082305390387773,0.21583670377731323,0.43179428577423096,0.019571354612708092,0.2915560007095337,0.34518083930015564,H1975,2,gefitinib,7,1
1,0.1790624558925628,0.0086095565930008,0.17716552317142487,0.3864828944206238,0.053217485547065735,0.2271871268749237,0.27264130115509033,H1975,2,gefitinib,8,1
2,0.0575268417596817,0.0055758343078196,0.06065908074378967,0.1724471151828766,0.00017146446043625474,0.09120570123195648,0.11343500763177872,H1975,2,gefitinib,8,1
1,0.3899811804294586,0.0074826776981353,0.38420188426971436,0.4250194728374481,0.29309916496276855,0.407569944858551,0.4167114198207855,H1975,2,gefitinib,9,1
2,0.2862957715988159,0.0040220860391855,0.24847036600112915,0.42262598872184753,0.12197203934192657,0.28456181287765503,0.3072037994861603,H1975,2,gefitinib,9,1
1,0.1679504364728927,0.0025069513358175,0.09972569346427917,0.12519092857837677,0.06742271035909653,0.11049439013004303,0.11519598960876465,H1975,2,gefitinib,0,2
2,0.2004230618476867,0.0043442375026643,0.19939664006233215,0.3415142595767975,0.09277830272912979,0.24282148480415344,0.265669047832489,H1975,2,gefitinib,0,2
3,0.0116030294448137,0.001536282012239,0.06587238609790802,0.20422789454460144,0.00043976734741590917,0.10029193013906479,0.1257726103067398,H1975,2,gefitinib,0,2
1,0.4417629837989807,0.0189638417214155,0.3915952742099762,0.5377887487411499,0.2247672975063324,0.4304644465446472,0.4540703296661377,H1975,2,gefitinib,1,2
2,0.2160244435071945,0.0212080311030149,0.29899513721466064,0.5465635657310486,0.09414929896593094,0.3885396122932434,0.45649096369743347,H1975,2,gefitinib,1,2
1,0.2155204564332962,0.0089452108368277,0.20113123953342438,0.3880857825279236,0.02834918722510338,0.24392372369766235,0.27298685908317566,H1975,2,gefitinib,10,2
2,0.1113590374588966,0.0030280037317425,0.21117030084133148,0.3106921315193176,0.08909530937671661,0.2505122721195221,0.2683473825454712,H1975,2,gefitinib,10,2
1,0.0343621522188186,0.002617007587105,0.027392713353037834,0.0609930157661438,0.0001660245325183496,0.03988875076174736,0.04757923260331154,H1975,2,gefitinib,11,2
2,0.1125740259885788,0.0037600402720272,0.2505442798137665,0.35021278262138367,0.05837974324822426,0.291464626789093,0.307627409696579,H1975,2,gefitinib,11,2
3,0.1154723539948463,0.0043262606486678,0.07757844030857086,0.19106735289096832,0.004146191757172346,0.10585242509841919,0.12572073936462402,H1975,2,gefitinib,11,2
4,0.1737018078565597,0.0106137711554765,0.2647477984428406,0.3402423560619354,0.13460569083690643,0.3073611557483673,0.3260594308376312,H1975,2,gefitinib,11,2
1,0.1828082799911499,0.0074315462261438,0.1864817887544632,0.35363417863845825,0.03902269899845123,0.25636953115463257,0.28820717334747314,H1975,2,gefitinib,12,2
2,0.1330287009477615,0.0208345875144004,0,0,0,0,0,H1975,2,gefitinib,12,2
3,0.1063084453344345,0.0033911187201738,0.16756200790405273,0.2949914038181305,0.04344132915139198,0.22300489246845245,0.2498718500137329,H1975,2,gefitinib,12,2
1,0.0013083905214443,0.0001814673451008,0.10524171590805054,0.264935702085495,0.007245668675750494,0.16070868074893951,0.19621506333351135,H1975,2,gefitinib,13,2
2,0.2797808945178985,0.0074558625929057,0.20649412274360657,0.30915045738220215,0.07020272314548492,0.24067485332489014,0.26016029715538025,H1975,2,gefitinib,13,2
3,0.0708542391657829,0.002358925063163,0.09666108340024948,0.2093881070613861,0.006839351262897253,0.13055191934108734,0.15020108222961426,H1975,2,gefitinib,13,2
4,0.2667645215988159,0.0059337024576961,0.23148176074028015,0.37357980012893677,0.08439784497022629,0.28552713990211487,0.31218960881233215,H1975,2,gefitinib,13,2
5,0.2488836199045181,0.013157982379198,0.24817930161952972,0.4302294850349426,0.0193744208663702,0.3064844608306885,0.3397841453552246,H1975,2,gefitinib,13,2
1,0.1051359847187995,0.0030439824331551,0.13301005959510803,0.23563797771930695,0.022362416610121727,0.16985243558883667,0.19074878096580505,H1975,2,gefitinib,14,2
2,0.1551998108625412,0.0116931200027465,0.20964425802230835,0.3970758020877838,0.021987425163388252,0.29815131425857544,0.3510356843471527,H1975,2,gefitinib,14,2
3,0.2257148921489715,0.0098758246749639,0.17489345371723175,0.4027293622493744,0.0025277240201830864,0.24118229746818542,0.2872961759567261,H1975,2,gefitinib,14,2
