ObjectNumber,Ed_cell_mean_value,Ed_cell_variance,Ed_agg_mean_value,Ed_agg_max_value,Ed_agg_min_value,Ed_agg_top_50_value,Ed_agg_top_25_value,Metadata_cell,Metadata_hour,Metadata_treatment,Metadata_site
1,0.1522488296031952,0.0093882475048303,0.16852974891662598,0.30659544467926025,0.0021454421803355217,0.2109958380460739,0.23515965044498444,H1975,4.0,control,4
2,0.052507609128952,0.0013669189065694,0.0,0.0,0.0,0.0,0.0,H1975,4.0,control,4
3,0.1036663129925727,0.0013679167022928,0.0961468517780304,0.15186667442321777,0.04725697264075279,0.11536841839551926,0.12695205211639404,H1975,4.0,control,4
4,0.076918751001358,0.0009058698196895,0.0652356818318367,0.13105125725269318,0.028314154595136642,0.08202293515205383,0.09357498586177826,H1975,4.0,control,4
1,0.1950501352548599,0.0198451802134513,0.34743425250053406,0.504163920879364,0.23631808161735535,0.40730950236320496,0.4477739632129669,H1975,4.0,control,5
2,0.0968067198991775,0.0020092143677175,0.08683058619499207,0.14852826297283173,0.01689748466014862,0.12468313425779343,0.1381746381521225,H1975,4.0,control,5
3,0.076313130557537,0.0028067000675946,0.09421677142381668,0.17814143002033234,0.030659113079309464,0.11659150570631027,0.13101418316364288,H1975,4.0,control,5
4,0.1154974326491355,0.0033658728934824,0.1779058426618576,0.2525343596935272,0.11135820299386978,0.20750969648361206,0.22849051654338837,H1975,4.0,control,5
1,0.0935576930642128,0.0020220442675054,0.11627012491226196,0.23237396776676178,0.03215302526950836,0.14596156775951385,0.16432635486125946,H1975,4.0,control,6
2,0.1506377905607223,0.0079161701723933,0.19674406945705414,0.3079170286655426,0.06376396864652634,0.2328406423330307,0.25507715344429016,H1975,4.0,control,6
3,0.1452547162771225,0.0019562044180929,0.1817025989294052,0.26956528425216675,0.1117953211069107,0.2173682600259781,0.23457074165344238,H1975,4.0,control,6
1,0.0961674302816391,0.0032365575898438,0.10068172216415405,0.1951444298028946,0.01266415510326624,0.12906545400619507,0.1462542861700058,H1975,4.0,control,7
2,0.1445626020431518,0.013298756442964,0.2541658878326416,0.44172587990760803,0.10846847295761108,0.31860923767089844,0.35127583146095276,H1975,4.0,control,7
1,0.1534211039543151,0.006055561825633,0.16038194298744202,0.2895538806915283,0.038543619215488434,0.20066110789775848,0.2277657687664032,H1975,4.0,control,8
2,0.1257609575986862,0.0036034346558153,0.1182180643081665,0.22548885643482208,0.005872383248060942,0.15049873292446136,0.17141792178153992,H1975,4.0,control,8
1,0.2173375934362411,0.0048876483924686,0.2969856858253479,0.3444465100765228,0.26051685214042664,0.316238135099411,0.3269604444503784,H1975,4.0,control,9
2,0.181164875626564,0.0071231615729629,0.2438860684633255,0.37944936752319336,0.18638135492801666,0.2773633301258087,0.31147709488868713,H1975,4.0,control,9
1,9.407030302099884e-05,8.507873644703068e-06,0.0,0.0,0.0,0.0,0.0,H1975,4.0,gefitinib,0
